model,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Coal chp,PJ/year,2.11931,2.11931,2.11931,2.11931,2.11931,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Coal chp,PJ/year,18.32749,18.32749,18.32749,18.32749,18.32749,18.32748,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Coal chp,PJ/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Coal chp,PJ/year,12.81869,12.81869,12.81869,12.81869,8.42806,0.0,0.0
eTIMES-EUNA,trade,AT,Production|Electricity|Conventional|Coal pc hard,PJ/year,7.02302,3.60467,0.20962,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Coal pc hard,PJ/year,15.15053,12.77208,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Coal pc hard,PJ/year,17.83014,17.83014,5.59721,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Coal pc hard,PJ/year,395.99551,336.29248,27.72,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DK,Production|Electricity|Conventional|Coal pc hard,PJ/year,23.55618,12.17332,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,ES,Production|Electricity|Conventional|Coal pc hard,PJ/year,147.79346,18.13056,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,FI,Production|Electricity|Conventional|Coal pc hard,PJ/year,19.7978,12.07897,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,FR,Production|Electricity|Conventional|Coal pc hard,PJ/year,18.23903,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HR,Production|Electricity|Conventional|Coal pc hard,PJ/year,4.43712,4.43712,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Coal pc hard,PJ/year,0.01939,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IE,Production|Electricity|Conventional|Coal pc hard,PJ/year,15.00483,6.78435,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,IT,Production|Electricity|Conventional|Coal pc hard,PJ/year,41.37698,32.40821,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,NL,Production|Electricity|Conventional|Coal pc hard,PJ/year,70.88473,20.63325,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,PL,Production|Electricity|Conventional|Coal pc hard,PJ/year,292.33304,282.96874,18.39938,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,PT,Production|Electricity|Conventional|Coal pc hard,PJ/year,44.30177,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,RO,Production|Electricity|Conventional|Coal pc hard,PJ/year,0.47935,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,SE,Production|Electricity|Conventional|Coal pc hard,PJ/year,1.74836,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,GB,Production|Electricity|Conventional|Coal pc hard,PJ/year,75.67322,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,BG,Production|Electricity|Conventional|Coal pc lignite,PJ/year,0.74731,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,CZ,Production|Electricity|Conventional|Coal pc lignite,PJ/year,39.09363,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,DE,Production|Electricity|Conventional|Coal pc lignite,PJ/year,353.61272,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,GR,Production|Electricity|Conventional|Coal pc lignite,PJ/year,15.53234,0.0,0.0,0.0,0.0,0.0,0.0
eTIMES-EUNA,trade,HU,Production|Electricity|Conventional|Coal pc lignite,PJ/year,2.45311,0.0,0.0,0.0,0.0,0.0,0.0
